"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1993","Contract policy is NOT fulfilled Dismantler activityType does not match","","Thu May 29 15:31:19 GMT 2025","passed","Thu May 29 15:31:21 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.StsConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.StsConsumerPullTest","transferData_whenContractPolicyNotFulfilled"
"","6103","azureBlobPush_withDestFolder()","","Thu May 29 15:27:58 GMT 2025","passed","Thu May 29 15:28:04 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.AzureToAzureEndToEndTest","org.eclipse.tractusx.edc.tests.transfer.AzureToAzureEndToEndTest","azureBlobPush_withDestFolder"
"","43","Policy is accepted PCF Use Case (new notation)","","Thu May 29 15:27:36 GMT 2025","passed","Thu May 29 15:27:36 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","2990","transferData_privateBackend_withConsumerDataPlane()","","Thu May 29 15:30:56 GMT 2025","passed","Thu May 29 15:30:59 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.StsConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.StsConsumerPullTest","transferData_privateBackend_withConsumerDataPlane"
"","41847","Catalog with 1000 offers","","Thu May 29 15:28:31 GMT 2025","passed","Thu May 29 15:29:12 GMT 2025","","org.eclipse.tractusx.edc.tests.catalog.CatalogTest","org.eclipse.tractusx.edc.tests.catalog.CatalogTest","requestCatalog_of1000Assets_shouldContainAll"
"","2168","transferFile_success()","","Thu May 29 15:29:53 GMT 2025","passed","Thu May 29 15:29:55 GMT 2025","","org.eclipse.tractusx.edc.dataplane.transfer.test.S3ToS3Test","org.eclipse.tractusx.edc.dataplane.transfer.test.S3ToS3Test","transferFile_success"
"","163","refreshEdr_whenNotFound()","","Thu May 29 15:27:17 GMT 2025","passed","Thu May 29 15:27:17 GMT 2025","","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest","refreshEdr_whenNotFound"
"","159","refreshEdr_whenNotAuthorized()","","Thu May 29 15:27:24 GMT 2025","passed","Thu May 29 15:27:24 GMT 2025","","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest","refreshEdr_whenNotAuthorized"
"","1213","The sign key of the authentication token is different from the public key from the DID","","Thu May 29 15:27:03 GMT 2025","passed","Thu May 29 15:27:04 GMT 2025","","org.eclipse.tractusx.edc.dataplane.tokenrefresh.e2e.DataPlaneTokenRefreshEndToEndTest","org.eclipse.tractusx.edc.dataplane.tokenrefresh.e2e.DataPlaneTokenRefreshEndToEndTest","refresh_spoofedAuthToken"
"","50","Policy is accepted Dismantler allowedBrands (IN, fully contained)","","Thu May 29 15:27:36 GMT 2025","passed","Thu May 29 15:27:36 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","6432","transferData_withSuspendResume()","","Thu May 29 15:28:54 GMT 2025","passed","Thu May 29 15:29:01 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest","transferData_withSuspendResume"
